타임스탬프,명칭,한자,위치,분류,이미지,기여자 기록용 별명 (한 번만 적어주시면 됩니다)
2024. 8. 12 오후 1:59:27,훈국군번처소,訓局軍番處所,"7954, 3272",건물,북궐도형,
2024. 8. 12 오후 2:00:03,광청문,光淸門,"8067, 3146",문,북궐도형,
2024. 8. 12 오후 3:56:28,상의원,尙衣院,"8220, 3271",건물,북궐도형,
2024. 8. 12 오후 3:57:24,면복각,冕服閣,"8207, 3385",건물,북궐도형,
2024. 8. 12 오후 3:58:10,누상고,樓上庫,"8278, 3417",건물,북궐도형,
2024. 8. 12 오후 3:58:28,누상고,樓上庫,"8162, 2991",건물,북궐도형,
2024. 8. 12 오후 3:58:53,누상고,樓上庫,"8199, 2832",건물,북궐도형,
2024. 8. 12 오후 3:59:20,누상고,樓上庫,"8593, 3400",건물,북궐도형,
2024. 8. 12 오후 3:59:36,누상고,樓上庫,"8651, 3333",건물,북궐도형,
2024. 8. 12 오후 4:00:25,별군직청,別軍職廳,"7977, 2925",건물,북궐도형,
2024. 8. 12 오후 4:01:02,군사방,軍士房,"7666, 3389",건물,북궐도형,
2024. 8. 12 오후 4:06:00,오위도총부,五衛都摠府,"8638, 3229",건물,북궐도형,
2024. 8. 12 오후 4:07:05,동소부장청,東所部將廳,"8788, 3187",건물,북궐도형,
2024. 8. 12 오후 4:07:34,남소부장청,南所部將廳,"8779, 3010",건물,북궐도형,
2024. 8. 12 오후 4:08:05,충장장청,忠將長廳,"8990, 3061",건물,북궐도형,
2024. 8. 12 오후 4:08:36,수문,水門,"9123, 2899",문,북궐도형,
2024. 8. 12 오후 4:26:03,장고,醬庫,"5049, 2495",건물,북궐도형,
2024. 8. 12 오후 4:27:24,용성문,用成門,"5048, 2798",문,북궐도형,
2024. 8. 12 오후 4:27:54,형복당,亨福堂,"5047, 2703",건물,북궐도형,
2024. 8. 12 오후 5:16:25,만화당,萬和堂,"5139, 2789",건물,북궐도형,
2024. 8. 12 오후 5:16:50,치중문,致中門,"5265, 2782",문,북궐도형,
2024. 8. 12 오후 5:17:18,평재문,平在門,"5323, 2757",문,북궐도형,
2024. 8. 12 오후 5:18:04,가성문,嘉成門,"5079, 2659",문,북궐도형,
2024. 8. 12 오후 5:18:26,건추문,建秋門,"5176, 2657",문,북궐도형,
2024. 8. 12 오후 5:19:03,읍향문,挹香門,"5283, 2556",문,북궐도형,
2024. 8. 12 오후 5:19:39,경성문,景成門,"5356, 2634",문,북궐도형,
2024. 8. 12 오후 5:20:23,치화문,致和門,"5001, 2299",문,북궐도형,
2024. 8. 12 오후 5:20:49,융후문,隆厚門,"5253, 2295",문,북궐도형,
2024. 8. 12 오후 5:21:22,다경합,多慶閤,"5366, 2270",건물,북궐도형,
2024. 8. 12 오후 5:23:04,담화문,覃化門,"5324, 2593",문,북궐도형,
2024. 8. 12 오후 5:23:35,서양문,舒養門,"5297, 2366",문,북궐도형,
2024. 8. 12 오후 5:24:26,건복합,建福閤,"5431, 2543",건물,북궐도형,
2024. 8. 12 오후 5:24:56,만경전,萬慶殿,"5437, 2763",건물,북궐도형,
2024. 8. 12 오후 5:25:34,건화당,建和堂,"5435, 2641",건물,북궐도형,
2024. 8. 12 오후 5:25:56,의추문,宜秋門,"5467, 2634",문,북궐도형,
2024. 8. 12 오후 5:26:23,양화문,養化門,"5554, 2774",문,북궐도형,
2024. 8. 12 오후 5:26:52,광서문,廣瑞門,"5557, 2536",문,북궐도형,
2024. 8. 12 오후 5:27:52,시총문,是捴門,"5476, 2271",문,북궐도형,
2024. 8. 12 오후 5:28:16,만유문,萬有門,"5590, 2388",문,북궐도형,
2024. 8. 12 오후 5:28:42,청호문,淸灝門,"5627, 2464",문,북궐도형,
2024. 8. 12 오후 5:31:02,총록문,總祿門,"5627, 2673",문,북궐도형,
2024. 8. 12 오후 5:34:56,상★문,祥★門,"5702, 2502",문,북궐도형,
2024. 8. 12 오후 5:35:24,하류문,霞流門,"5794, 2500",문,북궐도형,
2024. 8. 12 오후 7:11:35,춘훈문,春暉,"5844, 2470",문,북궐도형,
2024. 8. 12 오후 7:12:10,봉희당,奉禧堂,"5821, 2567",건물,북궐도형,
2024. 8. 12 오후 7:12:30,승덕당,承德堂,"5820, 2664",건물,북궐도형,
2024. 8. 12 오후 7:12:54,독인당,篤仁堂,"5820, 2774",건물,북궐도형,
2024. 8. 12 오후 8:40:17,방휘당,芳輝堂,"5889, 2828",건물,북궐도형,
2024. 8. 12 오후 9:29:25,협경당,協慶堂,"5986, 2796",건물,북궐도형,
2024. 8. 12 오후 9:30:33,청연루,淸讌樓,"6023, 2748",건물,북궐도형,
2024. 8. 12 오후 9:30:59,자경전,慈慶殿,"5991, 2673",건물,북궐도형,
2024. 8. 12 오후 9:32:34,복안당,福安堂,"5885, 2601",건물,북궐도형,
2024. 8. 12 오후 9:33:05,복광당,福光堂,"6053, 2544",건물,북궐도형,
2024. 8. 12 오후 9:33:28,함규문,含奎門,"6019, 2541",문,북궐도형,
2024. 8. 12 오후 9:33:58,만세문,萬歲門,"6143, 2670",문,북궐도형,
2024. 8. 12 오후 9:34:35,기하문,綺霞門,"6174, 2640",문,북궐도형,
2024. 8. 12 오후 9:35:01,득춘문,得春門,"6176, 2825",문,북궐도형,
2024. 8. 12 오후 9:35:53,소안당,紹安堂,"6138, 2574",건물,북궐도형,
2024. 8. 12 오후 9:36:19,봉서당,奉瑞堂,"6138, 2702",건물,북궐도형,
2024. 8. 12 오후 9:36:46,경례당,景禮堂,"6139, 2764",건물,북궐도형,
2024. 8. 12 오후 9:37:14,광복당,光福堂,"6138, 2812",건물,북궐도형,
2024. 8. 12 오후 9:37:49,회선당,會善堂,"6287, 2633",건물,북궐도형,
2024. 8. 12 오후 9:38:10,인후문,仁厚門,"6366, 2632",문,북궐도형,
2024. 8. 12 오후 9:38:31,복회당,福會堂,"6362, 2765",건물,북궐도형,
2024. 8. 12 오후 9:38:53,생물방,生物房,"6390, 2777",건물,북궐도형,
2024. 8. 12 오후 9:39:48,찬인당,贊仁堂,"6398, 2632",건물,북궐도형,
2024. 8. 12 오후 9:40:38,저응문,雎應堂,"6427, 2590",건물,북궐도형,
2024. 8. 12 오후 9:41:11,내소주방,內燒廚房,"6564, 2571",건물,북궐도형,
2024. 8. 12 오후 9:41:30,정(우물),井,"6611, 2669",미상,북궐도형,
2024. 8. 12 오후 9:41:55,외소주방,外燒廚房,"6568, 2811",건물,북궐도형,
2024. 8. 12 오후 9:42:21,난지당,蘭芝堂,"6536, 2805",건물,북궐도형,
2024. 8. 12 오후 9:43:09,인지당,麟祉堂,"6305, 2517",건물,북궐도형,
2024. 8. 12 오후 9:43:25,정(우물),井,"6342, 2414",미상,북궐도형,
2024. 8. 12 오후 9:43:57,자지문,自至門,"6143, 2525",문,북궐도형,
2024. 8. 12 오후 9:44:19,녹화문,綠華門,"6143, 2465",문,북궐도형,
2024. 8. 12 오후 9:44:44,봉륜문,鳳輪門,"6145, 2414",문,북궐도형,
2024. 8. 12 오후 9:45:28,자미문,紫微門,"6027, 2409",문,북궐도형,
2024. 8. 12 오후 9:46:19,집화루,集華樓,"6058, 2336",건물,북궐도형,
2024. 8. 12 오후 9:46:42,흥춘당,興春堂,"5927, 2478",건물,북궐도형,
2024. 8. 12 오후 9:47:04,기춘당,綺春堂,"5931, 2397",건물,북궐도형,
2024. 8. 12 오후 9:48:07,서로문,瑞露門,"5927, 2432",문,북궐도형,
2024. 8. 12 오후 9:48:32,유하문,流霞門,"5930, 2527",문,북궐도형,
2024. 8. 12 오후 9:49:17,연수문,燕壽門,"5863, 2541",문,북궐도형,
2024. 8. 12 오후 9:50:34,헌길당,獻吉堂,"6006, 2266",건물,북궐도형,
2024. 8. 12 오후 9:51:08,만통문,萬通門,"6358, 2270",문,북궐도형,
2024. 8. 12 오후 9:51:49,송인당,頌仁堂,"6423, 2353",건물,북궐도형,
2024. 8. 12 오후 9:52:21,연길당,延吉堂,"6514, 2297",건물,북궐도형,
2024. 8. 12 오후 9:53:18,연생전,延生殿,"6632, 2309",건물,북궐도형,
2024. 8. 12 오후 9:53:54,흥안당,興安堂,"6492, 2441",건물,북궐도형,
2024. 8. 12 오후 9:54:19,계광당,啓光堂,"6596, 2440",건물,북궐도형,
2024. 8. 12 오후 9:55:16,수경당,壽慶堂,"6664, 2443",건물,북궐도형,
2024. 8. 12 오후 9:55:53,지도문,志道門,"6612, 2442",문,북궐도형,
2024. 8. 12 오후 9:57:21,가서문,嘉瑞門,"6425, 2479",문,북궐도형,
2024. 8. 13 오전 11:24:02,필수문,必須門,"6744, 2477",문,북궐도형,
2024. 8. 13 오전 11:24:36,연태문,延泰門,"6776, 2440",문,북궐도형,
2024. 8. 13 오전 11:25:10,시흥문,是興門,"6797, 2518",문,북궐도형,
2024. 8. 13 오전 11:25:45,자선당,資善堂,"6891, 2654",건물,북궐도형,
2024. 8. 13 오전 11:26:17,안지문,安至門,"6753, 2296",문,북궐도형,
2024. 8. 13 오전 11:27:27,만춘전,萬春殿,"6873, 2296",건물,북궐도형,
2024. 8. 13 오전 11:27:52,정(우물),井,"6945, 2400",미상,북궐도형,
2024. 8. 13 오전 11:28:15,사현문,思賢門,"6981, 2441",문,북궐도형,
2024. 8. 13 오전 11:28:46,미성문,美成門,"7012, 2509",문,북궐도형,
2024. 8. 13 오전 11:29:47,양미고,粮米庫,"7118, 2470",건물,북궐도형,
2024. 8. 13 오전 11:30:14,삼비문,三備門,"7157, 2561",문,북궐도형,
2024. 8. 13 오전 11:30:37,진화문,震化門,"7031, 2655",문,북궐도형,
2024. 8. 13 오전 11:30:56,중광문,重光門,"7126, 2655",문,북궐도형,
2024. 8. 13 오전 11:31:23,길위문,吉爲門,"7078, 2766",문,북궐도형,
2024. 8. 13 오전 11:31:56,숭덕문,崇德門,"7229, 2514",문,북궐도형,
2024. 8. 13 오전 11:32:25,계인문,啓仁門,"7239, 2460",문,북궐도형,
2024. 8. 13 오전 11:32:51,오상방,五相房,"7255, 2687",건물,북궐도형,
2024. 8. 13 오전 11:33:43,원역처소,員役處所,"7239, 2825",건물,북궐도형,
2024. 8. 13 오전 11:37:55,문기수청,門旗手廳,"7429, 2800",건물,북궐도형,
2024. 8. 13 오전 11:38:27,전후행각,前後行閣,"7465, 2642",건물,북궐도형,
2024. 8. 13 오전 11:38:53,통장청,統將廳,"7435, 2606",건물,북궐도형,
2024. 8. 13 오전 11:39:23,융문루,隆文樓,"7521, 2498",건물,북궐도형,
2024. 8. 13 오전 11:40:11,누상고,樓上庫,"7379, 2470",건물,북궐도형,
2024. 8. 13 오전 11:40:43,관광청,觀光廳,"7125, 2450",건물,북궐도형,
2024. 8. 13 오전 11:43:51,계조당,繼照堂,"7721, 2636",건물,북궐도형,
2024. 8. 13 오전 11:44:15,누상고,樓上庫,"7674, 2465",건물,북궐도형,
2024. 8. 13 오전 11:44:49,서방색,書房色,"7702, 2455",건물,북궐도형,
2024. 8. 13 오전 11:45:19,덕양문,德陽門,"7938, 2460",문,북궐도형,
2024. 8. 13 오전 11:45:46,봉의문,奉宜門,"8075, 2724",문,북궐도형,
2024. 8. 13 오전 11:46:06,수각,水閣,"8162, 2459",건물,북궐도형,
2024. 8. 13 오전 11:48:39,초관처소,哨官處所,"9030, 2597",건물,북궐도형,
2024. 8. 13 오전 11:49:13,영군직소,營軍直所,"9030, 2668",건물,북궐도형,
2024. 8. 13 오전 11:49:37,수문장청,守門將廳,"9028, 2287",건물,북궐도형,
2024. 8. 13 오전 11:51:32,군사방,軍士房,"9058, 2220",건물,북궐도형,
2024. 8. 13 오전 11:51:57,광화문,光化門,"9127, 2090",문,북궐도형,
2024. 8. 13 오전 11:52:20,경복궁,景福宮,"9224, 2088",건물,북궐도형,
2024. 8. 13 오전 11:52:45,수문장청,守門將廳,"9021, 1890",건물,북궐도형,
2024. 8. 13 오전 11:53:17,용성문,用成門,"8726, 1709",문,북궐도형,
2024. 8. 13 오전 11:54:03,결속색,結束色,"8360, 2239",건물,북궐도형,
2024. 8. 13 오전 11:54:38,흥례문,興禮門,"8385, 2091",문,북궐도형,
2024. 8. 13 오전 11:55:02,마색,馬色,"8370, 1908",건물,북궐도형,
2024. 8. 13 오전 11:55:21,정색,政色,"8372, 1819",건물,북궐도형,
2024. 8. 13 오전 11:55:43,내병조,內兵曹,"8294, 1738",건물,북궐도형,
2024. 8. 13 오전 11:56:18,금천교,禁川橋,"8162, 2094",건물,북궐도형,
2024. 8. 13 오전 11:56:41,수각,水閣,"8163, 1720",건물,북궐도형,
2024. 8. 13 오전 11:57:00,배설방,排設房,"8097, 1741",건물,북궐도형,
2024. 8. 13 오전 11:57:45,유화문,維和門,"7976, 1729",문,북궐도형,
2024. 8. 13 오전 11:58:29,기별청,奇別廳,"7899, 1737",건물,북궐도형,
2024. 8. 13 오후 12:55:59,근정문,勤政門,"7859, 2089",문,북궐도형,
2024. 8. 13 오후 12:56:26,일화문,日華門,"7843, 2169",문,북궐도형,
2024. 8. 13 오후 12:56:44,월화문,月華門,"7841, 2008",문,북궐도형,
2024. 8. 13 오후 12:57:30,충의청,忠義廳,"7830, 1737",건물,북궐도형,
2024. 8. 13 오후 12:58:58,내삼청,內三廳,"7679, 1735",건물,북궐도형,
2024. 8. 13 오후 12:59:16,누상고,樓上庫,"7696, 1713",건물,북궐도형,
2024. 8. 13 오후 12:59:39,내삼청,內三廳,"7405, 1735",건물,북궐도형,
2024. 8. 13 오후 1:00:04,예문관,藝文館,"7165, 1733",건물,북궐도형,
2024. 8. 13 오후 1:00:21,향실,香室,"7059, 1735",건물,북궐도형,
2024. 8. 13 오후 1:05:45,근정전,勤政殿,"7292, 2090",건물,북궐도형,
2024. 8. 13 오후 1:06:26,사정문,思政門,"7004, 2092",문,북궐도형,
2024. 8. 13 오후 1:06:58,숭현문,崇賢門,"6982, 1747",문,북궐도형,
2024. 8. 13 오후 1:07:16,정(우물),井,"6941, 1812",미상,북궐도형,
2024. 8. 13 오후 1:07:48,사정전,思政殿,"6902, 2089",건물,북궐도형,
2024. 8. 13 오후 1:08:15,천추전,千秋殿,"6881, 1889",건물,북궐도형,
2024. 8. 13 오후 1:08:47,용신당,用申堂,"6915, 1758",건물,북궐도형,
2024. 8. 13 오후 1:09:11,협선당,協善堂,"6823, 1760",건물,북궐도형,
2024. 8. 13 오후 1:09:42,용부문,用敷門,"6756, 1874",문,북궐도형,
2024. 8. 13 오후 1:10:16,향오문,嚮五門,"6758, 2091",문,북궐도형,
2024. 8. 13 오후 1:10:40,청심당,淸心堂,"6744, 2216",건물,북궐도형,
2024. 8. 13 오후 1:12:52,연소당,延昭堂,"6746, 1971",건물,북궐도형,
2024. 8. 13 오후 1:13:39,건★당,建★堂,"6746, 1796",건물,북궐도형,
2024. 8. 13 오후 1:17:18,정중문,正中門,"4917, 1987",문,북궐도형,
2024. 8. 13 오후 1:19:21,강녕전,康寧殿,"6579, 2086",건물,북궐도형,
2024. 8. 13 오후 1:20:02,응지당,膺祉堂,"6522, 1901",건물,북궐도형,
2024. 8. 13 오후 1:20:20,정(우물),井,"6522, 1838",미상,북궐도형,
2024. 8. 13 오후 1:21:38,흠경각,欽慶閣,"6424, 1808",건물,북궐도형,
2024. 8. 13 오후 1:22:35,내성문,乃成門,"6612, 1745",문,북궐도형,
2024. 8. 13 오후 1:23:29,경성전,慶成殿,"6630, 1881",건물,북궐도형,
2024. 8. 13 오후 1:24:23,양의문,兩儀門,"6425, 2086",문,북궐도형,
2024. 8. 13 오후 1:24:51,체인당,體仁堂,"6395, 2260",건물,북궐도형,
2024. 8. 13 오후 1:25:16,원길헌,元吉軒,"6290, 2232",건물,북궐도형,
2024. 8. 13 오후 1:25:38,교태전,交泰殿,"6287, 2091",건물,북궐도형,
2024. 8. 13 오후 1:26:13,내순당,乃順堂,"6383, 1925",건물,북궐도형,
2024. 8. 13 오후 1:28:34,함홍각,含弘閣,"6291, 1945",건물,북궐도형,
2024. 8. 13 오후 1:30:27,건순각,建順閣,"6162, 2148",건물,북궐도형,
2024. 8. 13 오후 1:31:27,보의당,輔宜堂,"6422, 2007",건물,북궐도형,
2024. 8. 13 오후 1:31:49,승순당,承順堂,"6420, 2159",건물,북궐도형,
2024. 8. 13 오후 1:32:57,대재문,大哉門,"6334, 1713",문,북궐도형,
2024. 8. 13 오후 1:33:37,자안당,資安堂,"6402, 1720",건물,북궐도형,
2024. 8. 13 오후 1:34:00,융화당,隆和堂,"6246, 1721",건물,북궐도형,
2024. 8. 13 오후 1:34:29,선장문,善長門,"6122, 1838",문,북궐도형,
2024. 8. 13 오후 1:35:31,★형문,★亨門,"6187, 1916",문,북궐도형,
2024. 8. 13 오후 1:36:11,연휘문,延輝門,"6122, 2246",문,북궐도형,
2024. 8. 13 오후 1:36:41,아미산,峨眉山,"6015, 1959",건물,북궐도형,
2024. 8. 13 오후 1:37:20,침채고,沈菜庫,"6061, 1725",건물,북궐도형,
2024. 8. 13 오후 1:37:58,옥화문,玉華門,"5886, 2191",문,북궐도형,
2024. 8. 13 오후 1:41:10,화★문,花★門,"5974, 2260",문,북궐도형,
2024. 8. 13 오후 1:41:55,건순문,建順門,"6081, 2189",문,북궐도형,
2024. 8. 13 오후 1:42:44,원지문,元祉門,"5980, 2166",문,북궐도형,
2024. 8. 13 오후 1:44:23,유동문,攸同門,"5876, 1934",문,북궐도형,
2024. 8. 13 오후 1:44:54,수다문,受多門,"5850, 1865",문,북궐도형,
2024. 8. 13 오후 1:45:39,개이문,介爾門,"5863, 1823",문,북궐도형,
2024. 8. 13 오후 1:46:18,안창문,安昌門,"5910, 1712",문,북궐도형,
2024. 8. 13 오후 1:46:52,수인문,壽仁門,"5851, 1713",문,북궐도형,
2024. 8. 13 오후 1:50:19,순덕문,惇德門,"6019, 1749",문,북궐도형,
2024. 8. 13 오후 1:53:23,함원전,含元殿,"6255, 1821",건물,북궐도형,
2024. 8. 13 오후 1:59:31,정(우물),井,"6123, 1733",미상,북궐도형,
2024. 8. 13 오후 2:23:28,정(우물),井,"4960, 2221",미상,북궐도형,
2024. 8. 13 오후 2:24:04,영훈당,永薰堂,"5056, 2119",건물,북궐도형,
2024. 8. 13 오후 2:35:29,함지문,咸至門,"5007, 2199",문,북궐도형,
2024. 8. 13 오후 2:36:05,청저문,淸儲門,"5125, 2138",문,북궐도형,
2024. 8. 13 오후 2:37:03,서개문,瑞開門,"5111, 2074",문,북궐도형,
2024. 8. 13 오후 2:37:36,봉양문,鳳陽門,"5189, 2043",문,북궐도형,
2024. 8. 13 오후 2:38:08,무현문,茂顯門,"5249, 2114",문,북궐도형,
2024. 8. 13 오후 2:38:45,향명문,嚮明門,"5205, 1963",문,북궐도형,
2024. 8. 13 오후 2:39:15,이신문,貽信門,"5250, 1970",문,북궐도형,
2024. 8. 13 오후 2:39:49,집경당,緝敬堂,"5081, 1948",건물,북궐도형,
2024. 8. 13 오후 2:40:13,함화당,咸和堂,"5050, 1757",건물,북궐도형,
2024. 8. 13 오후 2:40:44,승광문,承光門,"5173, 1773",문,북궐도형,
2024. 8. 13 오후 2:41:14,이혜문,履惠門,"5249, 1802",문,북궐도형,
2024. 8. 13 오후 2:42:07,백상문,百祥門,"5159, 1884",문,북궐도형,
2024. 8. 13 오후 2:42:46,계명문,啓明門,"5125, 1827",문,북궐도형,
2024. 8. 13 오후 2:43:20,영춘문,迎春門,"4985, 1828",문,북궐도형,
2024. 8. 13 오후 2:45:00,★★문,★★門,"5298, 2212",문,북궐도형,
2024. 8. 13 오후 2:45:26,광원당,廣元堂,"5383, 2100",건물,북궐도형,
2024. 8. 13 오후 2:45:49,회광당,會光堂,"5382, 1864",건물,북궐도형,
2024. 8. 13 오후 2:46:41,수후문,綏厚門,"5446, 1934",문,북궐도형,
2024. 8. 13 오후 2:47:03,숭광문,崇廣門,"5518, 2051",문,북궐도형,
2024. 8. 13 오후 2:48:00,경소문,景昭門,"5519, 1901",문,북궐도형,
2024. 8. 13 오후 2:48:35,태지당,泰祉堂,"5581, 2074",건물,북궐도형,
2024. 8. 13 오후 2:49:00,계형당,啓亨堂,"5585, 1963",건물,북궐도형,
2024. 8. 13 오후 2:49:30,홍안당,弘安堂,"5584, 2184",건물,북궐도형,
2024. 8. 13 오후 2:50:05,협인문,協仁門,"5550, 2204",문,북궐도형,
2024. 8. 13 오후 2:51:16,광순문,光順門,"5580, 1917",문,북궐도형,
2024. 8. 13 오후 2:51:50,상화문,祥和門,"5582, 2155",문,북궐도형,
2024. 8. 13 오후 2:54:37,선보문,善報門,"5474, 1721",문,북궐도형,
2024. 8. 13 오후 2:55:00,서안문,瑞安門,"5476, 1799",문,북궐도형,
2024. 8. 13 오후 2:55:31,적경문,積慶門,"5645, 1864",문,북궐도형,
2024. 8. 13 오후 2:56:12,숭희문,崇禧門,"5631, 1799",문,북궐도형,
2024. 8. 13 오후 2:56:47,흥복전,興福殿,"5740, 2028",건물,북궐도형,
2024. 8. 13 오후 2:57:27,선의문,宣義門,"5756, 1865",문,북궐도형,
2024. 8. 13 오후 2:57:55,시오문,時五門,"5784, 1811",문,북궐도형,
2024. 8. 13 오후 2:59:03,유일문,維日門,"5719, 2225",문,북궐도형,
2024. 8. 13 오후 3:00:46,창무문,彰武門,"4964, 1778",문,북궐도형,
2024. 8. 13 오후 3:04:59,응복문,應福門,"4967, 1940",문,북궐도형,
2024. 8. 13 오후 3:56:09,경회루,慶會樓,"6507, 1460",건물,북궐도형,
2024. 8. 13 오후 3:57:57,수정전,修政殿,"7025, 1464",건물,북궐도형,
2024. 8. 13 오후 3:59:46,장원당,章元堂,"6847, 1575",건물,북궐도형,
2024. 8. 13 오후 4:00:33,협오당,協五堂,"6842, 1467",건물,북궐도형,
2024. 8. 13 오후 4:00:53,습회당,習會堂,"6845, 1346",건물,북궐도형,
2024. 8. 13 오후 4:01:35,수정문,修政門,"7200, 1465",문,북궐도형,
2024. 8. 13 오후 4:02:36,융지문,隆智門,"6807, 1614",문,북궐도형,
2024. 8. 13 오후 4:03:56,대전장방,大殿長房,"6918, 1184",건물,북궐도형,
2024. 8. 13 오후 4:05:16,공상청,貢上廳,"7153, 1161",건물,북궐도형,
2024. 8. 13 오후 4:05:44,내반원,內班院,"7308, 1240",건물,북궐도형,
2024. 8. 13 오후 4:06:16,숭양문,崇陽門,"7557, 1454",문,북궐도형,
2024. 8. 13 오후 4:09:15,함홍문,含弘門,"6401, 1668",문,북궐도형,
2024. 8. 13 오후 4:11:48,수문,水門,"9147, 985",문,북궐도형,
2024. 8. 13 오후 4:12:07,정(우물),井,"8875, 1087",우물,북궐도형,
2024. 8. 13 오후 4:12:46,내사복,內司僕,"8582, 875",건물,북궐도형,
2024. 8. 13 오후 4:13:11,연고,輦庫,"8569, 667",건물,북궐도형,
2024. 8. 13 오후 4:13:47,덕응방,德應房,"8442, 718",건물,북궐도형,
2024. 8. 13 오후 4:15:05,전사청,奠祀廳,"8468, 601",건물,북궐도형,
2024. 8. 13 오후 4:15:31,정(우물),井,"8493, 1079",우물,북궐도형,
2024. 8. 13 오후 4:16:35,신당,神堂,"8425, 588",건물,북궐도형,
2024. 8. 13 오후 4:17:02,일영대,日影臺,"8291, 666",건물,북궐도형,
2024. 8. 13 오후 4:17:25,누국,漏局,"8195, 570",건물,북궐도형,
2024. 8. 13 오후 4:18:16,훈국군번직소,訓局軍番直所,"7891, 526",건물,북궐도형,
2024. 8. 13 오후 4:18:39,초관직소,哨官直所,"7743, 522",건물,북궐도형,
2024. 8. 13 오후 4:19:23,서소위장,西所衛將,"7741, 511",건물,북궐도형,
2024. 8. 13 오후 4:20:28,선전관청,宣傳官廳,"7858, 973",건물,북궐도형,
2024. 8. 13 오후 4:20:48,당후,堂后,"7682, 972",건물,북궐도형,
2024. 8. 13 오후 4:21:02,옥당,玉堂,"7640, 858",건물,북궐도형,
2024. 8. 13 오후 4:21:43,내구,內廐,"8654, 1223",건물,북궐도형,
2024. 8. 13 오후 4:22:29,빈청,賓廳,"7997, 1234",건물,북궐도형,
2024. 8. 13 오후 4:23:01,정원,政院,"7787, 1341",건물,북궐도형,
2024. 8. 13 오후 4:24:46,기흥문,岐與門,"7897, 1341",문,북궐도형,
2024. 8. 13 오후 4:25:19,정원,政院,"7730, 1224",건물,북궐도형,
2024. 8. 13 오후 4:25:48,수라문,水刺門,"7580, 1270",문,북궐도형,
2024. 8. 13 오후 4:27:12,수문장청,守門將廳,"7354, 527",건물,북궐도형,
2024. 8. 13 오후 4:28:54,영추문,迎秋門,"7462, 421",문,북궐도형,
2024. 8. 13 오후 4:29:17,수문,水門,"6716, 368",문,북궐도형,
2024. 8. 13 오후 4:30:23,검서청,檢書廳,"7453, 1046",건물,북궐도형,
2024. 8. 13 오후 4:30:38,옥당,玉堂,"7473, 880",건물,북궐도형,
2024. 8. 13 오후 4:31:24,시운문,時雲門,"7375, 832",문,북궐도형,
2024. 8. 13 오후 4:32:29,침의청,鍼醫廳,"7235, 811",건물,북궐도형,
2024. 8. 13 오후 4:32:49,약방,藥房,"7351, 967",건물,북궐도형,
2024. 8. 13 오후 4:33:08,의약청,醫藥廳,"7300, 816",건물,북궐도형,
2024. 8. 13 오후 4:34:05,입번억석,入番憶昔,"7151, 960",건물,북궐도형,
2024. 8. 13 오후 4:34:28,정(우물),井,"7084, 1069",우물,북궐도형,
2024. 8. 13 오후 4:35:00,장무관직소,掌務官直所,"7162, 827",건물,북궐도형,
2024. 8. 13 오후 4:35:39,내각,內閣,"7116, 744",건물,북궐도형,
2024. 8. 13 오후 4:36:13,내각,內閣,"6928, 782",건물,북궐도형,
2024. 8. 13 오후 4:36:26,검서청,檢書廳,"6895, 945",건물,북궐도형,
2024. 8. 13 오후 4:36:51,소유재,小酉齋,"6840, 966",건물,북궐도형,
2024. 8. 13 오후 4:37:09,봉루,奉樓,"6843, 807",건물,북궐도형,김수민
2024. 8. 13 오후 4:39:21,북소위장직소,北所衛將直所,"6342, 370",건물,북궐도형,
2024. 8. 13 오후 4:39:40,무겸직소,武兼直所,"6165, 350",건물,북궐도형,
2024. 8. 13 오후 4:40:02,무겸직소,武兼直所,"5982, 308",건물,북궐도형,
2024. 8. 13 오후 4:40:25,국별장직소,局別將直所,"5898, 294",건물,북궐도형,
2024. 8. 13 오후 4:42:10,자시문,資始門,"6552, 1662",문,북궐도형,
2024. 8. 13 오후 4:42:37,이견문,利見門,"6287, 1654",문,북궐도형,
2024. 8. 13 오후 4:43:36,필관문,必觀門,"6010, 1255",문,북궐도형,
2024. 8. 13 오후 4:47:41,천일문,天一門,"6376, 779",문,북궐도형,
2024. 8. 13 오후 4:49:13,만시문,萬始門,"6017, 1688",문,북궐도형,
2024. 8. 13 오후 4:51:31,하향정,荷香亭,"6044, 1201",건물,북궐도형,
2024. 8. 13 오후 9:56:32,숙설소,熟設所,"5535, 1223",건물,북궐도형,
2024. 8. 13 오후 9:57:15,진거문,辰居門,"5305, 1458",문,북궐도형,
2024. 8. 13 오후 9:57:53,옹화문,雍和門,"5194, 1603",문,북궐도형,
2024. 8. 13 오후 9:58:16,진덕문,進德門,"5203, 1692",문,북궐도형,
2024. 8. 13 오후 9:58:47,연화문,延和門,"5004, 1690",문,북궐도형,
2024. 8. 13 오후 9:59:10,장고,醬庫,"5026, 1519",건물,북궐도형,
2024. 8. 13 오후 9:59:35,장고,醬庫,"4858, 1518",건물,북궐도형,
2024. 8. 13 오후 10:00:33,보방문,寶芳門,"5860, 1361",문,북궐도형,
2024. 8. 13 오후 10:03:13,광사문,廣四門,"5991, 795",문,북궐도형,
2024. 8. 13 오후 10:04:22,도(섬),島,"6346, 1088",미상,북궐도형,
2024. 8. 13 오후 10:04:36,도(섬),島,"6470, 1087",미상,북궐도형,
2024. 8. 13 오후 10:05:06,도(섬),島,"5752, 898",건물,북궐도형,
